id,Depth(m),Temperatur(degrees C),Salinity,Oxygen(umol/kg),pH,DO_mgL,QualityLevel
1,0,23.8058,34.6166,212.9,7.9316,6.8128,3
2,11.62,23.8044,34.6166,212.3,8.0877,6.7936,3
3,22.05,23.8117,34.6166,212.5,8.0876,6.8,3
4,31.59,23.8034,34.6166,212.2,8.089,6.7904,3
5,50.06,23.4602,34.6166,211,8.0798,6.752,3
6,75.18,22.9201,34.6166,212.7,8.0744,6.8064,3
7,100.11,21.6927,34.6166,216.6,8.0638,6.9312,3
8,126.81,21.0274,34.6166,219.2,8.0577,7.0144,3
9,152.23,20.9139,34.6166,215.9,8.0511,6.9088,3
10,155.6,20.815,34.6166,209.3,8.0377,6.6976,3
11,200.26,19.5045,34.6166,187.3,7.9748,5.9936,3
12,255.33,18.212,34.6166,186.7,7.9437,5.9744,3
13,305.53,16.7291,34.6166,186.4,7.9106,5.9648,2
14,401.42,14.6512,34.6166,175.7,7.8446,5.6224,2
15,500.25,11.8762,34.6166,163.4,7.7482,5.2288,2
16,597.04,9.0988,34.6166,131.8,7.6352,4.2176,1
17,693.09,7.1109,34.6166,103.8,7.5424,3.3216,1
18,697.05,6.8794,34.6166,101.4,7.5347,3.2448,1
19,743.28,6.3806,34.6166,94.4,7.5136,3.0208,1
20,0,23.9385,34.6166,211.1,7.9316,6.7552,3
21,10.63,23.9477,34.7794,211,8.09,6.752,3
22,21.65,23.9447,34.6166,210.9,8.0869,6.7488,3
23,31.49,23.9588,34.6166,210.9,8.0918,6.7488,3
24,49.16,23.9645,34.6166,211,8.0851,6.752,3
25,75.68,23.9738,34.6166,210.8,8.0835,6.7456,3
26,98.52,23.9748,34.7792,211,8.0831,6.752,3
27,123.93,23.3798,34.6166,202,8.0538,6.464,3
28,149.24,23.2155,34.6166,202.4,8.0579,6.4768,3
29,199.07,20.8722,34.7621,188.8,7.9969,6.0416,3
30,200.56,20.7255,34.7619,188.9,7.9947,6.0448,3
31,248.88,18.2541,34.6166,181.1,7.9339,5.7952,3
32,301.65,15.9842,34.6385,177.5,7.8836,5.68,2
33,401.12,12.4251,34.4211,166.4,7.7884,5.3248,2
34,501.03,10.19,34.6166,146.1,7.6998,4.6752,2
35,601.38,7.8378,34.3158,114,7.6142,3.648,1
36,699.21,6.2392,34.6166,93.2,7.5555,2.9824,0
37,797.1,5.6284,34.3604,86.8,7.5318,2.7776,0
38,798.09,5.6211,34.3604,86,7.5309,2.752,0
39,895.43,4.923,34.6166,78.9,7.5233,2.5248,0
40,0,24.0253,34.6166,212.5,7.9316,6.8,2
41,11.82,23.9214,34.764,212.7,8.0841,6.8064,3
42,26.83,23.8987,34.6166,214.1,8.0841,6.8512,3
43,50.97,23.9427,34.6166,212.4,8.0845,6.7968,3
44,76.79,23.9513,34.6166,213.2,8.0817,6.8224,3
45,101.02,23.3089,34.7678,210.2,8.0694,6.7264,3
46,126.84,21.9277,34.6166,213,8.0523,6.816,3
47,150.28,21.3944,34.6166,198,8.0194,6.336,3
48,200.81,20.2128,34.7438,201.9,8.0046,6.4608,3
49,251.32,18.6749,34.6166,190.1,7.9606,6.0832,3
50,252.71,18.6418,34.6166,190.1,7.9316,6.0832,3
51,300.24,17.4837,34.6166,190,7.9305,6.08,2
52,401.91,15.0679,34.5934,183.3,7.8651,5.8656,2
53,501.25,12.3797,34.6166,173.5,7.7777,5.552,2
54,599.65,9.2431,34.2435,142,7.6424,4.544,1
55,701.08,6.7089,34.6166,107.5,7.515,3.44,1
56,801.36,5.8177,34.2522,85.1,7.4708,2.7232,0
57,901.6,4.8077,34.6166,70.2,7.4271,2.2464,0
58,1001.98,3.915,34.3901,64.9,7.4184,2.0768,0
59,1003.96,3.8998,34.6166,64.3,7.9316,2.0576,0
60,1202.51,3.1199,34.461,67.5,7.4181,2.16,0
61,1402.75,2.6224,34.6166,80.8,7.4448,2.5856,0
62,1602.31,2.331,34.5603,92.5,7.4698,2.96,0
63,1804.34,2.0906,34.6166,106.8,7.4986,3.4176,1
64,2003.52,1.9603,34.6188,116,7.5217,3.712,1
65,0,26.2309,34.6166,206.2,7.9316,6.5984,2
66,11.13,26.2415,34.6166,204.5,8.0872,6.544,2
67,21.75,26.2386,34.6166,207.2,8.1006,6.6304,2
68,30.69,26.0802,34.6166,205.8,8.0911,6.5856,2
69,50.56,25.0581,34.6166,207.6,8.0872,6.6432,2
70,76.08,23.9164,34.6166,197.3,8.0487,6.3136,3
71,100.7,22.9633,34.6166,203.5,8.0526,6.512,3
72,124.43,21.9902,34.6166,199.8,8.0255,6.3936,3
73,152.03,21.2104,34.6166,208.8,8.0337,6.6816,3
74,202.45,20.2564,34.6166,195.8,7.9978,6.2656,3
75,251.47,18.6177,34.6166,187.4,7.9534,5.9968,3
76,301.66,17.2704,34.6166,183.9,7.9193,5.8848,2
77,402.32,14.6443,34.6166,175.9,7.854,5.6288,2
78,501.63,11.5887,34.6166,154.5,7.7337,4.944,2
79,601.89,8.9034,34.6166,127.7,7.6547,4.0864,1
80,700.42,7.004,34.6166,102.9,7.5395,3.2928,1
81,749.32,6.4033,34.6166,95.6,7.5613,3.0592,1
82,750.11,6.3753,34.6166,97.1,7.4906,3.1072,1
83,750.21,6.3784,34.6166,96.1,7.5118,3.0752,1
84,0,28.5163,34.6166,190.9,7.9316,6.1088,2
85,11.72,28.5159,34.8134,199.6,8.12,6.3872,2
86,26.33,28.5049,34.6166,200.1,8.1212,6.4032,2
87,51.66,25.807,34.6166,209,8.1022,6.688,2
88,75.8,23.8837,34.6166,201.8,8.0652,6.4576,3
89,101.02,22.526,34.797,200.8,8.0443,6.4256,3
90,124.06,21.9092,34.6166,181.4,7.9945,5.8048,3
91,151.67,20.5499,34.6166,187.3,7.987,5.9936,3
92,200.61,19.2667,34.779,190.9,7.9746,6.1088,3
93,249.93,18.1327,34.6166,192.8,7.95,6.1696,3
94,250.43,18.1298,34.6166,192.3,7.9502,6.1536,3
95,300.64,17.1645,34.6166,192,7.925,6.144,2
96,400.82,14.7801,34.57,183.9,7.8548,5.8848,2
97,500.85,12.1936,34.6166,174.1,7.7662,5.5712,2
98,601.34,9.0707,34.1856,152,7.6457,4.864,1
99,702.16,7.2319,34.6166,123.3,7.5429,3.9456,1
100,801.95,6.0555,34.2084,93.3,7.4807,2.9856,0
101,899.91,4.7947,34.6166,70.6,7.4192,2.2592,0
102,1000.4,4.0325,34.3532,62.2,7.4014,1.9904,0
103,1001.09,4.0251,34.6166,62.8,7.3996,2.0096,0
104,1251.8,3.145,34.4728,69.2,7.4191,2.2144,0
105,1502.4,2.5648,34.5341,83.6,7.4425,2.6752,0
106,1749.56,2.2036,34.5944,102.3,7.4779,3.2736,1
107,2001.54,1.9788,34.6169,115.6,7.5082,3.6992,1
108,0,23.2502,34.6166,209.1,7.9316,6.6912,3
109,12.12,23.2654,34.6166,208.9,8.0821,6.6848,3
110,20.96,23.2709,34.6166,208.8,8.0783,6.6816,3
111,31.59,23.2766,34.6166,209.1,8.0793,6.6912,3
112,55.72,23.2433,34.6166,208.6,8.0741,6.6752,3
113,75.68,23.2314,34.6166,208,8.0775,6.656,3
114,102.29,23.0356,34.6166,198.3,8.0413,6.3456,3
115,128.7,22.5928,34.6166,196.5,8.0377,6.288,3
116,150.84,20.8848,34.6166,193.5,8.0046,6.192,3
117,200.86,19.2066,34.6166,188.1,7.9616,6.0192,3
118,252.75,18.1169,34.6166,189.8,7.9454,6.0736,3
119,301.26,17.2945,34.6166,187.7,7.9192,6.0064,2
120,399.94,14.6994,34.6166,178.2,7.8433,5.7024,2
121,499.75,11.2794,34.6166,157.9,7.7213,5.0528,2
