sample_id,ec_uScm,tds_mgL,turbidity_NTU,temp_C,pH,do_mgL,class
1507,19.14,6.07,130.13,21.86,9.35,11.69,Warning
1768,1831.09,1017.97,52.15,20.17,9.32,2.33,Warning
890,40.52,29.74,35.69,30.1,6.49,9.09,Caution
307,442.84,221.24,17.3,25.51,7.71,6.09,Normal
1774,1790.43,859.0,132.55,32.56,5.62,2.82,Warning
110,234.11,146.7,15.44,26.6,7.29,7.43,Normal
1652,1390.4,610.64,118.68,22.14,5.74,11.78,Warning
1658,1089.92,669.06,120.21,21.27,5.63,11.94,Warning
1907,3106.85,1798.67,352.53,37.74,4.74,1.58,Severe
720,769.62,412.94,45.68,30.69,6.11,9.16,Caution
252,343.1,166.15,3.61,25.16,7.06,7.46,Normal
241,399.49,244.82,20.45,27.2,6.54,7.58,Normal
635,497.67,294.04,14.33,28.79,7.32,6.37,Normal
2132,3816.1,1931.01,221.02,36.63,9.59,1.11,Severe
30,260.32,124.35,19.83,27.98,8.43,8.73,Normal
1106,41.16,13.35,25.03,23.94,8.83,4.64,Caution
1086,585.2,381.26,36.78,24.42,6.4,4.71,Caution
621,189.83,92.74,4.85,29.57,8.12,8.64,Normal
2018,8.88,4.96,291.49,16.21,9.76,0.73,Severe
136,266.27,133.41,11.95,28.72,8.46,8.06,Normal
1876,3.72,6.91,483.99,34.57,10.37,12.21,Severe
1223,802.15,404.22,37.54,23.27,6.18,9.41,Caution
459,269.17,139.23,5.43,28.69,6.61,5.68,Normal
1981,9.36,0.53,252.36,16.95,5.07,12.02,Severe
283,375.54,210.46,21.86,25.63,7.62,8.01,Normal
2106,4.23,7.19,162.2,17.46,10.15,12.31,Severe
1684,10.27,8.59,136.4,33.77,9.31,10.6,Warning
1594,1977.87,846.73,96.38,21.38,9.28,3.6,Warning
1867,1.07,8.65,539.57,15.4,9.69,15.46,Severe
304,314.38,168.68,16.94,26.61,7.67,7.79,Normal
1122,500.01,302.8,26.49,31.13,8.71,4.7,Caution
308,316.11,155.75,9.13,28.67,6.94,8.31,Normal
2014,2204.01,1400.1,405.11,17.12,5.07,1.98,Severe
889,817.41,486.46,25.1,24.13,8.67,9.94,Caution
1197,44.22,22.58,41.19,30.08,6.4,9.97,Caution
433,244.55,156.5,20.84,27.76,7.39,6.64,Normal
388,334.6,196.97,4.83,28.56,7.01,7.63,Normal
1139,527.09,341.52,34.91,24.87,8.84,9.57,Caution
932,531.46,308.1,46.3,31.95,6.48,4.67,Caution
938,47.77,20.03,33.04,30.53,6.49,9.37,Caution
300,412.6,234.21,6.93,28.96,7.69,8.01,Normal
1552,1544.83,966.32,143.85,33.57,5.75,3.23,Warning
169,186.71,86.79,21.98,28.97,6.74,8.35,Normal
1748,17.25,19.29,63.3,21.47,5.72,2.9,Warning
840,732.72,464.57,49.68,24.14,6.24,9.29,Caution
768,627.27,317.02,41.48,24.74,6.38,4.73,Caution
1467,17.61,19.01,70.81,33.2,5.56,3.22,Warning
531,449.46,266.48,7.8,29.78,7.43,6.12,Normal
