sample_id,ec_uScm,tds_mgL,turbidity_NTU,temp_C,pH,do_mgL,真实标签,预测标签,概率_Caution,概率_Normal,概率_Severe,概率_Warning
1252,888.18,397.6,30.43,30.67,6.25,9.38,Caution,Caution,1.0,0.0,0.0,0.0
370,308.23,165.1,5.4,27.71,7.01,6.28,Normal,Normal,0.0,1.0,0.0,0.0
2125,4302.96,2394.92,550.45,19.02,4.59,0.89,Severe,Severe,0.0,0.0,1.0,0.0
1840,3.7,5.64,180.33,34.92,4.92,15.21,Severe,Severe,0.0,0.0,1.0,0.0
471,482.82,290.38,3.04,28.52,7.48,5.31,Normal,Normal,0.005,0.995,0.0,0.0
1545,14.6,5.66,69.52,32.97,5.51,3.65,Warning,Warning,0.0,0.0,0.0,1.0
1013,37.89,27.32,41.89,30.96,8.96,4.2,Caution,Caution,1.0,0.0,0.0,0.0
1418,12.6,3.0,95.11,22.72,5.83,10.51,Warning,Warning,0.0,0.0,0.0,1.0
1633,1034.84,504.06,53.54,21.6,9.4,11.09,Warning,Warning,0.04,0.0,0.0,0.96
359,122.84,72.55,3.25,27.01,7.05,7.12,Normal,Normal,0.0,1.0,0.0,0.0
1127,848.26,472.2,46.29,23.85,6.15,4.29,Caution,Caution,1.0,0.0,0.0,0.0
404,184.97,107.25,3.76,29.49,7.14,7.25,Normal,Normal,0.0,1.0,0.0,0.0
1693,1436.09,945.62,148.44,32.48,9.29,3.03,Warning,Warning,0.0,0.0,0.0,1.0
183,352.78,179.5,11.43,25.91,7.58,6.28,Normal,Normal,0.0,1.0,0.0,0.0
535,315.45,157.03,20.43,25.42,7.71,5.26,Normal,Normal,0.0,1.0,0.0,0.0
241,399.49,244.82,20.45,27.2,6.54,7.58,Normal,Normal,0.0,1.0,0.0,0.0
179,120.89,81.0,5.94,29.65,7.39,7.45,Normal,Normal,0.0,1.0,0.0,0.0
283,375.54,210.46,21.86,25.63,7.62,8.01,Normal,Normal,0.0,1.0,0.0,0.0
657,32.21,15.41,33.2,24.28,8.67,9.4,Caution,Caution,1.0,0.0,0.0,0.0
804,758.8,454.3,26.09,30.17,6.11,9.32,Caution,Caution,1.0,0.0,0.0,0.0
1109,26.76,15.59,28.31,24.11,8.87,9.72,Caution,Caution,1.0,0.0,0.0,0.0
1503,1014.36,543.79,82.57,20.95,9.21,3.91,Warning,Warning,0.02,0.0,0.0,0.98
787,778.98,430.29,36.89,31.65,6.3,9.35,Caution,Caution,1.0,0.0,0.0,0.0
1379,1556.59,816.29,142.42,33.87,9.08,3.68,Warning,Warning,0.0,0.0,0.0,1.0
721,48.9,27.49,47.7,23.76,8.52,9.48,Caution,Caution,0.995,0.005,0.0,0.0
476,428.43,242.76,19.44,27.14,7.28,6.12,Normal,Normal,0.0,1.0,0.0,0.0
333,251.27,133.38,10.57,27.87,6.64,6.87,Normal,Normal,0.0,1.0,0.0,0.0
599,378.36,223.64,10.81,25.23,6.92,6.85,Normal,Normal,0.0,1.0,0.0,0.0
1806,2338.41,1096.3,501.56,15.03,10.24,12.98,Severe,Severe,0.0,0.0,0.975,0.025
2115,3141.79,1518.38,464.22,19.61,4.74,15.96,Severe,Severe,0.0,0.0,1.0,0.0
1496,19.1,12.16,55.09,21.94,5.68,11.61,Warning,Warning,0.005,0.0,0.0,0.995
971,651.17,362.11,47.64,31.2,8.97,4.68,Caution,Caution,1.0,0.0,0.0,0.0
2074,8.77,2.23,386.69,16.23,10.15,14.46,Severe,Severe,0.0,0.0,1.0,0.0
1114,45.34,24.12,38.92,30.77,6.48,4.88,Caution,Caution,1.0,0.0,0.0,0.0
1995,8.65,4.29,520.63,36.62,4.93,1.65,Severe,Severe,0.0,0.0,1.0,0.0
1941,1.48,3.74,387.79,36.1,10.3,1.59,Severe,Severe,0.0,0.0,1.0,0.0
1059,557.52,257.81,40.73,31.35,6.14,9.53,Caution,Caution,0.995,0.005,0.0,0.0
1483,1796.28,952.98,91.58,33.27,9.48,2.9,Warning,Warning,0.0,0.0,0.0,1.0
44,327.27,188.24,5.11,26.27,8.39,7.36,Normal,Normal,0.0,1.0,0.0,0.0
1876,3.72,6.91,483.99,34.57,10.37,12.21,Severe,Severe,0.0,0.0,1.0,0.0
227,467.59,249.37,12.8,27.36,8.02,7.0,Normal,Normal,0.0,1.0,0.0,0.0
541,106.07,47.46,14.65,27.56,6.55,8.25,Normal,Normal,0.0,1.0,0.0,0.0
164,310.54,152.2,1.11,29.73,6.61,6.57,Normal,Normal,0.0,1.0,0.0,0.0
844,898.71,525.44,27.92,23.32,8.86,4.13,Caution,Caution,1.0,0.0,0.0,0.0
125,77.93,35.66,12.0,25.01,7.78,8.97,Normal,Normal,0.0,1.0,0.0,0.0
1374,1681.29,823.03,65.24,32.32,5.94,3.23,Warning,Warning,0.0,0.0,0.0,1.0
1453,1243.26,759.56,56.12,32.44,9.06,10.66,Warning,Warning,0.0,0.0,0.0,1.0
1314,1245.98,739.88,146.98,32.15,5.96,3.83,Warning,Warning,0.0,0.0,0.0,1.0
483,235.54,148.42,1.05,25.56,6.91,5.48,Normal,Normal,0.0,1.0,0.0,0.0
862,637.29,403.18,35.61,23.92,6.41,4.39,Caution,Caution,1.0,0.0,0.0,0.0
192,386.6,204.25,20.56,25.35,7.91,6.92,Normal,Normal,0.0,1.0,0.0,0.0
898,45.25,22.88,43.53,30.52,6.29,4.79,Caution,Caution,1.0,0.0,0.0,0.0
214,447.59,255.9,8.23,28.94,7.07,6.53,Normal,Normal,0.0,1.0,0.0,0.0
1863,5.88,9.43,550.39,15.33,4.56,15.67,Severe,Severe,0.0,0.0,1.0,0.0
375,85.78,42.96,19.02,28.87,6.67,7.36,Normal,Normal,0.0,1.0,0.0,0.0
828,26.9,14.93,41.3,24.61,8.84,9.9,Caution,Caution,1.0,0.0,0.0,0.0
369,408.77,200.19,24.28,25.06,6.81,5.99,Normal,Normal,0.0,1.0,0.0,0.0
2004,4636.26,2229.12,562.4,35.99,4.81,12.24,Severe,Severe,0.0,0.0,1.0,0.0
958,899.62,430.37,42.72,31.55,6.41,9.84,Caution,Caution,1.0,0.0,0.0,0.0
1253,738.03,358.44,42.85,24.8,8.62,9.42,Caution,Caution,1.0,0.0,0.0,0.0
1874,9.69,8.7,228.86,17.81,5.48,12.03,Severe,Severe,0.0,0.0,0.945,0.055
949,21.83,13.03,38.5,31.13,6.21,4.43,Caution,Caution,1.0,0.0,0.0,0.0
775,726.25,329.04,33.82,23.76,8.58,4.14,Caution,Caution,1.0,0.0,0.0,0.0
1609,15.46,0.32,66.55,20.61,9.31,3.15,Warning,Warning,0.0,0.0,0.0,1.0
1457,15.44,21.04,109.83,33.62,9.42,10.74,Warning,Warning,0.0,0.0,0.0,1.0
989,656.62,392.97,46.59,31.65,6.44,4.59,Caution,Caution,1.0,0.0,0.0,0.0
474,130.19,64.09,1.48,25.08,7.05,5.83,Normal,Normal,0.0,1.0,0.0,0.0
1346,1249.38,644.47,110.74,21.39,9.18,11.36,Warning,Warning,0.0,0.0,0.0,1.0
601,173.59,104.67,16.96,27.7,7.5,7.21,Normal,Normal,0.0,1.0,0.0,0.0
986,27.57,4.65,43.17,23.47,8.9,9.6,Caution,Caution,1.0,0.0,0.0,0.0
2148,3.7,6.9,348.44,37.7,10.25,15.48,Severe,Severe,0.0,0.0,1.0,0.0
2105,8.47,1.22,212.09,35.32,10.16,1.74,Severe,Severe,0.0,0.0,1.0,0.0
1189,39.59,17.3,42.93,30.85,8.98,9.8,Caution,Caution,1.0,0.0,0.0,0.0
338,161.27,83.5,6.99,25.85,6.96,7.57,Normal,Normal,0.0,1.0,0.0,0.0
460,320.12,178.54,3.21,28.08,8.4,6.53,Normal,Normal,0.0,1.0,0.0,0.0
670,965.83,476.76,38.26,30.01,8.77,4.57,Caution,Caution,0.99,0.01,0.0,0.0
395,352.39,220.81,18.06,25.38,6.88,7.42,Normal,Normal,0.0,1.0,0.0,0.0
258,166.48,96.17,13.11,29.65,7.35,7.01,Normal,Normal,0.0,1.0,0.0,0.0
73,462.8,233.02,16.14,27.66,7.5,5.42,Normal,Normal,0.0,1.0,0.0,0.0
1285,817.73,471.98,47.18,24.43,8.87,4.79,Caution,Caution,1.0,0.0,0.0,0.0
685,28.61,23.55,41.29,31.2,6.03,9.71,Caution,Caution,1.0,0.0,0.0,0.0
547,311.9,190.36,5.82,26.52,8.33,5.62,Normal,Normal,0.0,1.0,0.0,0.0
1264,547.67,346.49,33.78,30.93,8.76,4.65,Caution,Caution,1.0,0.0,0.0,0.0
